ISBN|DNBID|DNBURI|OCLC|GND|DDC|TOC|AUTHORID|SACHGRUPPEN
9783862346882|['1052091296']|['http://d-nb.info/1052091296']|['(OColc)852515422']|['118508210', '7744360-3', '118508210', '4846114-3', '4001236-0', '4075159-4', '4605581-2']|['832.912']|[]|['1011233134']|['830 Deutsche Literatur']

9783899711271|['968567371']|['http://d-nb.info/968567371']|['(OColc)237836353']|['4500391-9', '4292962-3', '4112701-8', '4048835-4', '4779879-8']|[]|['968567371/04']|['128398183']|['340 Recht']

9783899715903|['1002788900']|['http://d-nb.info/1002788900']|['(OColc)724446780']|[]|[]|['1002788900/04']|[]|[]

9783899716474|['1004898908']|['http://d-nb.info/1004898908']|['(OColc)703811458']|['4011882-4', '4063206-4', '4117359-4']|['346.43086']|['1004898908/04']|['105317462']|['340 Recht']

9783899718546|['1012351521']|['http://d-nb.info/1012351521']|['(OColc)745485129']|['4306648-3']|['809.933581']|['1012351521/04']|[]|['800 Literatur, Rhetorik, Literaturwissenschaft']

9783862349753|['1052126898']|['http://d-nb.info/1052126898']|['(OColc)882503201']|['4053881-3', '4123514-9', '4070463-4', '4030550-8', '4563270-4']|['220.950508309494']|[]|['1026697891']|['220 Bibel ; 230 Theologie, Christentum ; 370 Erziehung, Schul- und Bildungswesen']

9783862349203|['1052119204']|['http://d-nb.info/1052119204']|['(OColc)882502764']|[]|[]|[]|[]|['300 Sozialwissenschaften, Soziologie, Anthropologie ; 320 Politik']

9783862340026|['1052047297']|['http://d-nb.info/1052047297']|['(OColc)882496218']|['118619764']|[]|[]|['122969979']|[]

9783899718461|['1011004232']|['http://d-nb.info/1011004232']|['(OColc)725095057']|['4128520-7', '4027489-5', '4054392-4', '4134819-9', '4011784-4', '4001869-6']|[]|['1011004232/04']|['132107333']|['100 Philosophie']

9783899716771|['1007198281']|['http://d-nb.info/1007198281']|['(OColc)701479996']|['121686876', '7733327-5', '121686876', '7733326-3', '121686876', '7733328-7', '121686876', '7616807-4', '121686876', '7733329-9', '7732635-0']|['833.92']|['1007198281/04']|[]|['830 Deutsche Literatur']

9783862348831|['105211928X']|['http://d-nb.info/105211928X']|['(OColc)882502760']|['4041771-2', '4015950-4', '137558643']|['225.6']|[]|[]|['220 Bibel']

9783899715279|['990519244']|['http://d-nb.info/990519244']|['(OColc)314726440']|['4168346-8']|['230.4109034']|['990519244/04']|['118754335']|['230 Theologie, Christentum']

9783862349616|['1052129064']|['http://d-nb.info/1052129064']|['(OColc)882503459']|['4047497-5']|[]|[]|[]|['800 Literatur, Rhetorik, Literaturwissenschaft']

9783862340088|['1073820629']|['http://d-nb.info/1073820629']|[]|['4011882-4', '4002799-5', '4134488-1']|[]|[]|['128951303']|['340 Recht']

9783899717686|['997776633']|['http://d-nb.info/997776633']|['(OColc)541062329']|['4014777-0', '4157930-6', '4003900-6', '4000178-7', '4033542-2', '4003900-6', '4017102-4', '4000178-7', '4033542-2']|['823.087380989915']|['997776633/04']|['140599142']|['820 Englische Literatur ; 791 Öffentliche Darbietungen, Film, Rundfunk']

9783862348930|['1052091393']|['http://d-nb.info/1052091393']|['(OColc)882501172']|['118756680', '119305658', '4036824-5', '4369958-3', '4018480-8', '4254845-7']|['320.4092241']|[]|['101667628X']|['320 Politik']

9783862349593|['1052124682']|['http://d-nb.info/1052124682']|['(OColc)847027240']|['118547798', '4143114-5', '4005248-5', '4126976-7', '4038936-4']|[]|[]|['1025610628']|['600 Technik ; 100 Philosophie']

9783862340439|['1052047335']|['http://d-nb.info/1052047335']|['(OColc)882496227']|['1059654644', '4300436-2', '4077530-6', '4071045-2', '4185072-5', '4049716-1', '4028859-6', '4153261-2']|['232.4']|[]|['133666719']|['230 Theologie, Christentum']

9783899718355|['1010500554']|['http://d-nb.info/1010500554']|['(OColc)724806018']|['4042226-4', '4031881-3']|['342.435909']|['1010500554/04']|[]|['340 Recht']

9783862340149|['1052047238']|['http://d-nb.info/1052047238']|[]|['4008135-7', '4003743-5', '4000911-7', '4077570-7']|[]|[]|['112344402']|['300 Sozialwissenschaften, Soziologie, Anthropologie']

9783899716740|['1052145310']|['http://d-nb.info/1052145310']|['(OColc)882504441']|['4011882-4', '4328181-3', '4130688-0', '4131753-1']|['343.430929', '343.240929']|[]|[]|['340 Recht']

9783899717174|['995823472']|['http://d-nb.info/995823472']|['(OColc)699659392']|['4033422-3', '4016044-0', '4071776-8']|['700.9041']|['995823472/04']|[]|['700 Künste, Bildende Kunst allgemein']

9783899717679|['997776749']|['http://d-nb.info/997776749']|['(OColc)646158433']|['4038001-4', '4015508-0', '4614059-1', '7707227-3', '4015950-4']|['226.206']|['997776749/04']|['141571330']|['220 Bibel ; 230 Theologie, Christentum']

9783899712445|['976482991']|['http://d-nb.info/976482991']|['(OColc)181481485']|['119094436']|[]|['976482991/04']|[]|['970 Geschichte Nordamerikas']

9783899712063|['972820132']|['http://d-nb.info/972820132']|['(OColc)181440277']|['4039591-1', '4013960-8', '4065781-4', '4011882-4', '4003920-1', '4039591-1']|[]|['972820132/04']|['133725626']|['300 Sozialwissenschaften, Soziologie, Anthropologie']

9783899719314|['1018012591']|['http://d-nb.info/1018012591']|['(OColc)808101393']|['4131753-1', '4011882-4', '4014712-5', '4201190-5', '4152243-6']|['343.24092']|['1018012591/04']|[]|['340 Recht']

9783899718218|['1009136402']|['http://d-nb.info/1009136402']|['(OColc)723554500']|['4165992-2', '4061418-9', '4033569-0', '4038217-5']|['303.4820902']|['1009136402/04']|[]|['300 Sozialwissenschaften, Soziologie, Anthropologie ; 400 Sprache, Linguistik']

9783899713244|['980701104']|['http://d-nb.info/980701104']|['(OColc)180940537']|['4011882-4', '4071045-2', '4035117-8']|['268.80409430904']|['980701104/04']|['121205940']|['230 Theologie, Christentum ; 370 Erziehung, Schul- und Bildungswesen']

9783899716481|['993128572']|['http://d-nb.info/993128572']|[]|[]|[]|[]|[]|['200 Religion, Religionsphilosophie']

9783862347780|['1052125999']|['http://d-nb.info/1052125999']|['(OColc)882503134']|['118523813', '4049716-1', '4636472-9', '4232000-8']|['155.7']|[]|['109984234']|['150 Psychologie']

9783899714616|['988705435']|['http://d-nb.info/988705435']|['(OColc)244627609']|['118684043', '4041421-8']|['509.2']|['988705435/04']|['114576122']|[]

9783862344574|['1052090915']|['http://d-nb.info/1052090915']|['(OColc)882501114']|['4599834-6', '4177169-2', '4035420-9', '4133734-7', '4015490-7']|['362.8286']|[]|['136116655']|['360 Soziale Probleme, Sozialdienste, Versicherungen']

9783899713275|['980642094']|['http://d-nb.info/980642094']|['(OColc)180939405']|['4015701-5', '4025453-7', '4200793-8']|['940.1']|['980642094/04']|[]|['940 Geschichte Europas']

100190964X|['100190964X']|['http://d-nb.info/100190964X']|['(OColc)614451687']|['4011882-4', '4155441-3']|['327.1720943']|[]|[]|['320 Politik']

9783899714593|['987353829']|['http://d-nb.info/987353829']|['(OColc)227334907']|['4053460-1', '4036824-5', '4026745-3']|['153.8']|['987353829/04']|['129629979']|['150 Psychologie']

9783862349111|['1052124844']|['http://d-nb.info/1052124844']|['(OColc)882503035']|['4193689-9', '4071769-0']|['947.210842']|[]|['102663587X']|['940 Geschichte Europas']

9783862340729|['1052091172']|['http://d-nb.info/1052091172']|['(OColc)882501085']|['4011882-4', '4130688-0']|['343.43092']|[]|[]|['340 Recht']

9783899713152|['979627257']|['http://d-nb.info/979627257']|['(OColc)255465153']|['118547798', '118572350']|[]|['979627257/04']|['131440705']|['100 Philosophie']

